time, nthreads, ndatablocks, itermax, size
nthreads = 4
0.216246, 4, 10, 1000, 1048576
call StencilImplementation
nthreads = 4
0.211304, 4, 10, 1000, 1048576
call StencilImplementation
nthreads = 4
0.212744, 4, 10, 1000, 1048576
call StencilImplementation
nthreads = 4
0.21097, 4, 10, 1000, 1048576
time, nthreads, ndatablocks, itermax, size
call StencilImplementation
nthreads = 1
0.724338, 1, 10, 1000, 1048576
call StencilImplementation
nthreads = 1
0.724012, 1, 10, 1000, 1048576
call StencilImplementation
nthreads = 1
0.724348, 1, 10, 1000, 1048576
call StencilImplementation
nthreads = 1
0.723378, 1, 10, 1000, 1048576
call StencilImplementation
nthreads = 1
0.722744, 1, 10, 1000, 1048576
call StencilImplementation
nthreads = 2
0.383374, 2, 10, 1000, 1048576
call StencilImplementation
nthreads = 2
0.37913, 2, 10, 1000, 1048576
call StencilImplementation
nthreads = 2
0.380699, 2, 10, 1000, 1048576
call StencilImplementation
nthreads = 2
0.379703, 2, 10, 1000, 1048576
call StencilImplementation
nthreads = 2
0.383077, 2, 10, 1000, 1048576
call StencilImplementation
nthreads = 3
0.274761, 3, 10, 1000, 1048576
call StencilImplementation
nthreads = 3
0.291126, 3, 10, 1000, 1048576
call StencilImplementation
nthreads = 3
0.277229, 3, 10, 1000, 1048576
call StencilImplementation
nthreads = 3
0.278932, 3, 10, 1000, 1048576
call StencilImplementation
nthreads = 3
0.275898, 3, 10, 1000, 1048576
call StencilImplementation
nthreads = 4
0.21339, 4, 10, 1000, 1048576
call StencilImplementation
nthreads = 4
0.211439, 4, 10, 1000, 1048576
call StencilImplementation
nthreads = 4
0.21094, 4, 10, 1000, 1048576
call StencilImplementation
nthreads = 4
0.213877, 4, 10, 1000, 1048576
call StencilImplementation
nthreads = 4
0.213448, 4, 10, 1000, 1048576
