time, nthreads, ndatablocks, itermax, size
0.0338659, 1, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.033741, 1, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.033998, 1, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.0352881, 1, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.034909, 2, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.0344851, 2, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.034677, 2, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.03578, 2, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.0347369, 2, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.034888, 3, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.0344028, 3, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.035152, 3, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.035589, 3, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.034385, 3, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.0707898, 4, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.0706642, 4, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.0689611, 4, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.072978, 4, 10, 1000, 1048576
call elemental()
call StencilImplementation
0.0660231, 4, 10, 1000, 1048576
time, nthreads, ndatablocks, itermax, size
call StencilImplementation
0.0246868, 1, 10, 1000, 1048576
call StencilImplementation
0.0242319, 1, 10, 1000, 1048576
call StencilImplementation
0.0240502, 1, 10, 1000, 1048576
call StencilImplementation
0.0245762, 1, 10, 1000, 1048576
call StencilImplementation
0.0319932, 1, 10, 1000, 1048576
call StencilImplementation
0.025768, 2, 10, 1000, 1048576
call StencilImplementation
0.0260379, 2, 10, 1000, 1048576
call StencilImplementation
0.025805, 2, 10, 1000, 1048576
call StencilImplementation
0.0308011, 2, 10, 1000, 1048576
call StencilImplementation
0.0264299, 2, 10, 1000, 1048576
call StencilImplementation
0.0315571, 3, 10, 1000, 1048576
call StencilImplementation
0.028044, 3, 10, 1000, 1048576
call StencilImplementation
0.026849, 3, 10, 1000, 1048576
call StencilImplementation
0.02616, 3, 10, 1000, 1048576
call StencilImplementation
0.0521991, 3, 10, 1000, 1048576
call StencilImplementation
0.0603609, 4, 10, 1000, 1048576
call StencilImplementation
0.06165, 4, 10, 1000, 1048576
call StencilImplementation
0.0622649, 4, 10, 1000, 1048576
call StencilImplementation
0.0619121, 4, 10, 1000, 1048576
call StencilImplementation
0.061621, 4, 10, 1000, 1048576
time, nthreads, ndatablocks, itermax, size
call StencilImplementation
0.0613079, 4, 10, 1000, 1048576
call StencilImplementation
0.0660541, 4, 10, 1000, 1048576
call StencilImplementation
0.06862, 4, 10, 1000, 1048576
call StencilImplementation
0.0627692, 4, 10, 1000, 1048576
call StencilImplementation
0.061564, 4, 10, 1000, 1048576
call StencilImplementation
0.0647061, 4, 10, 1000, 1048576
call StencilImplementation
0.067168, 4, 10, 1000, 1048576
call StencilImplementation
0.0639391, 4, 10, 1000, 1048576
call StencilImplementation
0.0621781, 4, 10, 1000, 1048576
call StencilImplementation
0.0621171, 4, 10, 1000, 1048576
call StencilImplementation
0.063381, 4, 10, 1000, 1048576
call StencilImplementation
0.0631812, 4, 10, 1000, 1048576
call StencilImplementation
0.0628951, 4, 10, 1000, 1048576
call StencilImplementation
0.061337, 4, 10, 1000, 1048576
call StencilImplementation
0.065881, 4, 10, 1000, 1048576
call StencilImplementation
0.0596402, 4, 10, 1000, 1048576
call StencilImplementation
0.063277, 4, 10, 1000, 1048576
call StencilImplementation
time, nthreads, ndatablocks, itermax, size
call StencilImplementation
